PACIFIC Exchange Rate Service
Jul.Day	YYYY/MM/DD	Wdy	USD/EUR	CNY/EUR
2457470	2016/03/22	Tue	1.1227	7.2859
2457471	2016/03/23	Wed	1.1175	7.2716
2457472	2016/03/24	Thu	1.1163	7.2715
2457476	2016/03/28	Mon	1.1208	7.2937
2457477	2016/03/29	Tue	1.1203	7.2878
2457478	2016/03/30	Wed	1.1330	7.3247
2457479	2016/03/31	Thu	1.1391	7.3471
2457480	2016/04/01	Fri	1.1385	7.3754
2457483	2016/04/04	Mon	1.1386	7.3772
2457484	2016/04/05	Tue	1.1379	7.3714
2457485	2016/04/06	Wed	1.1428	7.4053
2457486	2016/04/07	Thu	1.1386	7.3574
2457487	2016/04/08	Fri	1.1405	7.3736
2457490	2016/04/11	Mon	1.1410	7.3707
2457491	2016/04/12	Tue	1.1395	7.3657
2457492	2016/04/13	Wed	1.1280	7.3058
2457493	2016/04/14	Thu	1.1263	7.3015
2457494	2016/04/15	Fri	1.1293	7.3117
2457497	2016/04/18	Mon	1.1322	7.3315
2457498	2016/04/19	Tue	1.1376	7.3454
2457499	2016/04/20	Wed	1.1328	7.3316
2457500	2016/04/21	Thu	1.1300	7.3238
2457501	2016/04/22	Fri	1.1239	7.3046
2457504	2016/04/25	Mon	1.1273	7.3190
2457505	2016/04/26	Tue	1.1318	7.3479
2457506	2016/04/27	Wed	1.1322	7.3548
2457507	2016/04/28	Thu	1.1324	7.3335
2457508	2016/04/29	Fri	1.1440	7.4076
2457511	2016/05/02	Mon	1.1516	7.4561
2457512	2016/05/03	Tue	1.1506	7.4703
2457513	2016/05/04	Wed	1.1486	7.4592
2457514	2016/05/05	Thu	1.1403	7.4170
2457515	2016/05/06	Fri	1.1420	7.4225
2457518	2016/05/09	Mon	1.1402	7.4303
2457519	2016/05/10	Tue	1.1385	7.4215
2457520	2016/05/11	Wed	1.1444	7.4305
2457521	2016/05/12	Thu	1.1380	7.4166
2457522	2016/05/13	Fri	1.1294	7.3771
2457525	2016/05/16	Mon	1.1328	7.3877
2457526	2016/05/17	Tue	1.1337	7.3927
2457527	2016/05/18	Wed	1.1276	7.3733
2457528	2016/05/19	Thu	1.1214	7.3430
2457529	2016/05/20	Fri	1.1207	7.3390
2457533	2016/05/24	Tue	1.1144	7.3058
2457534	2016/05/25	Wed	1.1153	7.3105
2457535	2016/05/26	Thu	1.1183	7.3318
2457536	2016/05/27	Fri	1.1139	7.3115
2457539	2016/05/30	Mon	1.1136	7.3312
2457540	2016/05/31	Tue	1.1134	7.3297
2457541	2016/06/01	Wed	1.1163	7.3395
2457542	2016/06/02	Thu	1.1156	7.3474
2457543	2016/06/03	Fri	1.1328	7.4376
2457546	2016/06/06	Mon	1.1353	7.4502
2457547	2016/06/07	Tue	1.1349	7.4584
2457548	2016/06/08	Wed	1.1401	7.4835
2457549	2016/06/09	Thu	1.1328	7.4340
2457550	2016/06/10	Fri	1.1280	7.4013
2457553	2016/06/13	Mon	1.1281	7.4310
2457554	2016/06/14	Tue	1.1204	7.3895
2457555	2016/06/15	Wed	1.1237	7.3965
2457556	2016/06/16	Thu	1.1157	7.3559
2457557	2016/06/17	Fri	1.1255	7.4138
2457560	2016/06/20	Mon	1.1317	7.4443
2457561	2016/06/21	Tue	1.1261	7.4211
2457562	2016/06/22	Wed	1.1287	7.4243
2457563	2016/06/23	Thu	1.1371	7.4781
2457564	2016/06/24	Fri	1.1123	7.3655
2457567	2016/06/27	Mon	1.1022	7.3321
2457568	2016/06/28	Tue	1.1053	7.3479
2457569	2016/06/29	Wed	1.1117	7.3797
2457570	2016/06/30	Thu	1.1034	7.3347
2457574	2016/07/04	Mon	1.1144	7.4276
2457575	2016/07/05	Tue	1.1079	7.3987
2457576	2016/07/06	Wed	1.1076	7.4133
2457577	2016/07/07	Thu	1.1064	7.3937
2457578	2016/07/08	Fri	1.1036	7.3800
2457581	2016/07/11	Mon	1.1043	7.3922
2457582	2016/07/12	Tue	1.1073	7.4065
2457583	2016/07/13	Wed	1.1111	7.4291
2457584	2016/07/14	Thu	1.1107	7.4249
2457585	2016/07/15	Fri	1.1058	7.3959
2457588	2016/07/18	Mon	1.1076	7.4244
2457589	2016/07/19	Tue	1.1014	7.3741
2457590	2016/07/20	Wed	1.1005	7.3482
2457591	2016/07/21	Thu	1.1016	7.3533
2457592	2016/07/22	Fri	1.0968	7.3259
2457595	2016/07/25	Mon	1.0979	7.3333
2457596	2016/07/26	Tue	1.0983	7.3268
2457597	2016/07/27	Wed	1.0988	7.3290
2457598	2016/07/28	Thu	1.1094	7.3830
2457599	2016/07/29	Fri	1.1169	7.4127
2457603	2016/08/02	Tue	1.1224	7.4385
2457604	2016/08/03	Wed	1.1170	7.4087
2457605	2016/08/04	Thu	1.1132	7.3942
2457606	2016/08/05	Fri	1.1080	7.3753
2457609	2016/08/08	Mon	1.1089	7.3765
2457610	2016/08/09	Tue	1.1109	7.3932
2457611	2016/08/10	Wed	1.1171	7.4169
2457612	2016/08/11	Thu	1.1168	7.3999
2457613	2016/08/12	Fri	1.1172	7.4126
2457616	2016/08/15	Mon	1.1197	7.4314
2457617	2016/08/16	Tue	1.1277	7.4724
2457618	2016/08/17	Wed	1.1262	7.4722
2457619	2016/08/18	Thu	1.1333	7.5171
2457620	2016/08/19	Fri	1.1326	7.5341
2457623	2016/08/22	Mon	1.1313	7.5236
2457624	2016/08/23	Tue	1.1308	7.5085
2457625	2016/08/24	Wed	1.1257	7.4967
2457626	2016/08/25	Thu	1.1274	7.5064
2457627	2016/08/26	Fri	1.1238	7.4961
2457630	2016/08/29	Mon	1.1181	7.4651
2457631	2016/08/30	Tue	1.1150	7.4502
2457632	2016/08/31	Wed	1.1146	7.4443
2457633	2016/09/01	Thu	1.1194	7.4667
2457634	2016/09/02	Fri	1.1157	7.4527
2457638	2016/09/06	Tue	1.1236	7.5000
2457639	2016/09/07	Wed	1.1237	7.4884
2457640	2016/09/08	Thu	1.1257	7.5023
2457641	2016/09/09	Fri	1.1214	7.4872
2457644	2016/09/12	Mon	1.1230	7.5000
2457645	2016/09/13	Tue	1.1241	7.5094
2457646	2016/09/14	Wed	1.1271	7.5228
2457647	2016/09/15	Thu	1.1244	7.5030
2457648	2016/09/16	Fri	1.1159	7.4465
2457651	2016/09/19	Mon	1.1179	7.4532
2457652	2016/09/20	Tue	1.1172	7.4523
2457653	2016/09/21	Wed	1.1163	7.4494
2457654	2016/09/22	Thu	1.1229	7.4852
2457655	2016/09/23	Fri	1.1223	7.4848
2457658	2016/09/26	Mon	1.1268	7.5139
2457659	2016/09/27	Tue	1.1208	7.4768
2457660	2016/09/28	Wed	1.1200	7.4753
2457661	2016/09/29	Thu	1.1245	7.4972
2457662	2016/09/30	Fri	1.1238	7.4941
2457665	2016/10/03	Mon	1.1211	7.4799
2457666	2016/10/04	Tue	1.1213	7.4808
2457667	2016/10/05	Wed	1.1194	7.4689
2457668	2016/10/06	Thu	1.1157	7.4439
2457669	2016/10/07	Fri	1.1156	7.4433
2457673	2016/10/11	Tue	1.1061	7.4335
2457674	2016/10/12	Wed	1.1012	7.3993
2457675	2016/10/13	Thu	1.1038	7.4254
2457676	2016/10/14	Fri	1.0985	7.3914
2457679	2016/10/17	Mon	1.0999	7.4108
2457680	2016/10/18	Tue	1.0997	7.4125
2457681	2016/10/19	Wed	1.0965	7.3892
2457682	2016/10/20	Thu	1.0933	7.3735
2457683	2016/10/21	Fri	1.0866	7.3530
2457686	2016/10/24	Mon	1.0887	7.3765
2457687	2016/10/25	Tue	1.0889	7.3850
2457688	2016/10/26	Wed	1.0915	7.3908
2457689	2016/10/27	Thu	1.0903	7.3974
2457690	2016/10/28	Fri	1.0934	7.4139
2457693	2016/10/31	Mon	1.0962	7.4277
2457694	2016/11/01	Tue	1.1043	7.4734
2457695	2016/11/02	Wed	1.1119	7.5116
2457696	2016/11/03	Thu	1.1094	7.5038
2457697	2016/11/04	Fri	1.1121	7.5138
2457700	2016/11/07	Mon	1.1037	7.4790
2457701	2016/11/08	Tue	1.1035	7.4896
2457702	2016/11/09	Wed	1.0950	7.4226
2457703	2016/11/10	Thu	1.0882	7.4018
2457707	2016/11/14	Mon	1.0722	7.3402
2457708	2016/11/15	Tue	1.0725	7.3544
2457709	2016/11/16	Wed	1.0699	7.3610
2457710	2016/11/17	Thu	1.0655	7.3304
2457711	2016/11/18	Fri	1.0600	7.3000
2457714	2016/11/21	Mon	1.0597	7.3058
2457715	2016/11/22	Tue	1.0619	7.3173
2457716	2016/11/23	Wed	1.0559	7.3088
2457717	2016/11/24	Thu	1.0558	7.3058
2457718	2016/11/25	Fri	1.0594	7.3308
2457721	2016/11/28	Mon	1.0575	7.3046
2457722	2016/11/29	Tue	1.0625	7.3280
2457723	2016/11/30	Wed	1.0578	7.2831
2457724	2016/12/01	Thu	1.0635	7.3228
2457725	2016/12/02	Fri	1.0666	7.3454
2457728	2016/12/05	Mon	1.0723	7.3774
2457729	2016/12/06	Tue	1.0717	7.3746
2457730	2016/12/07	Wed	1.0758	7.4024
2457731	2016/12/08	Thu	1.0626	7.3096
2457732	2016/12/09	Fri	1.0540	7.2796
2457735	2016/12/12	Mon	1.0607	7.3275
2457736	2016/12/13	Tue	1.0634	7.3393
2457737	2016/12/14	Wed	1.0655	7.3595
2457738	2016/12/15	Thu	1.0374	7.2048
2457739	2016/12/16	Fri	1.0454	7.2777
2457742	2016/12/19	Mon	1.0446	7.2626
2457743	2016/12/20	Tue	1.0391	7.2213
2457744	2016/12/21	Wed	1.0425	7.2389
2457745	2016/12/22	Thu	1.0452	7.2637
2457746	2016/12/23	Fri	1.0448	7.2592
2457751	2016/12/28	Wed	1.0389	7.2295
2457752	2016/12/29	Thu	1.0483	7.2924
2457753	2016/12/30	Fri	1.0553	7.3415
2457757	2017/01/03	Tue	1.0415	7.2518
2457758	2017/01/04	Wed	1.0475	7.2639
2457759	2017/01/05	Thu	1.0599	7.3029
2457760	2017/01/06	Fri	1.0559	7.3063
2457763	2017/01/09	Mon	1.0576	7.3363
2457764	2017/01/10	Tue	1.0572	7.3181
2457765	2017/01/11	Wed	1.0500	7.2853
2457766	2017/01/12	Thu	1.0665	7.3506
2457767	2017/01/13	Fri	1.0624	7.3332
2457770	2017/01/16	Mon	1.0600	7.3167
2457771	2017/01/17	Tue	1.0695	7.3323
2457772	2017/01/18	Wed	1.0682	7.3046
2457773	2017/01/19	Thu	1.0630	7.3036
2457774	2017/01/20	Fri	1.0679	7.3428
2457777	2017/01/23	Mon	1.0740	7.3605
2457778	2017/01/24	Tue	1.0748	7.3740
2457779	2017/01/25	Wed	1.0743	7.3965
2457780	2017/01/26	Thu	1.0669	7.3430
2457781	2017/01/27	Fri	1.0690	7.3554
2457784	2017/01/30	Mon	1.0680	7.3479
2457785	2017/01/31	Tue	1.0793	7.4289
2457786	2017/02/01	Wed	1.0756	7.4022
2457787	2017/02/02	Thu	1.0803	7.4334
2457788	2017/02/03	Fri	1.0791	7.4131
2457791	2017/02/06	Mon	1.0730	7.3652
2457792	2017/02/07	Tue	1.0690	7.3581
2457793	2017/02/08	Wed	1.0707	7.3561
2457794	2017/02/09	Thu	1.0657	7.3210
2457795	2017/02/10	Fri	1.0649	7.3235
2457798	2017/02/13	Mon	1.0602	7.2975
2457799	2017/02/14	Tue	1.0577	7.2617
2457800	2017/02/15	Wed	1.0596	7.2815
2457801	2017/02/16	Thu	1.0660	7.3071
2457802	2017/02/17	Fri	1.0615	7.2890
2457806	2017/02/21	Tue	1.0551	7.2633
2457807	2017/02/22	Wed	1.0555	7.2608
2457808	2017/02/23	Thu	1.0585	7.2687
2457809	2017/02/24	Fri	1.0581	7.2668
2457812	2017/02/27	Mon	1.0625	7.2994
2457813	2017/02/28	Tue	1.0617	7.2919
2457814	2017/03/01	Wed	1.0563	7.2708
2457815	2017/03/02	Thu	1.0515	7.2429
2457816	2017/03/03	Fri	1.0552	7.2765
2457819	2017/03/06	Mon	1.0585	7.3014
2457820	2017/03/07	Tue	1.0582	7.3047
2457821	2017/03/08	Wed	1.0547	7.2913
2457822	2017/03/09	Thu	1.0586	7.3163
2457823	2017/03/10	Fri	1.0667	7.3715
2457826	2017/03/13	Mon	1.0670	7.3762
2457827	2017/03/14	Tue	1.0645	7.3611
2457828	2017/03/15	Wed	1.0632	7.3527
2457829	2017/03/16	Thu	1.0737	7.4078
2457830	2017/03/17	Fri	1.0741	7.4135
2457833	2017/03/20	Mon	1.0753	7.4304
2457834	2017/03/21	Tue	1.0809	7.4447
2457835	2017/03/22	Wed	1.0800	7.4342
2457836	2017/03/23	Thu	1.0787	7.4287
2457837	2017/03/24	Fri	1.0805	7.4364
2457840	2017/03/27	Mon	1.0881	7.4787
2457841	2017/03/28	Tue	1.0851	7.4665
2457842	2017/03/29	Wed	1.0756	7.4101
2457843	2017/03/30	Thu	1.0727	7.3918
2457844	2017/03/31	Fri	1.0697	7.3687
2457847	2017/04/03	Mon	1.0654	7.3380
2457848	2017/04/04	Tue	1.0663	7.3434
2457849	2017/04/05	Wed	1.0661	7.3506
2457850	2017/04/06	Thu	1.0650	7.3457
2457851	2017/04/07	Fri	1.0615	7.3266
2457854	2017/04/10	Mon	1.0605	7.3223
2457855	2017/04/11	Tue	1.0614	7.3147
2457856	2017/04/12	Wed	1.0610	7.3130
2457857	2017/04/13	Thu	1.0630	7.3252
2457861	2017/04/17	Mon	1.0660	7.3370
2457862	2017/04/18	Tue	1.0706	7.3693
2457863	2017/04/19	Wed	1.0707	7.3765
2457864	2017/04/20	Thu	1.0757	7.4017
2457865	2017/04/21	Fri	1.0693	7.3631
2457868	2017/04/24	Mon	1.0848	7.4692
2457869	2017/04/25	Tue	1.0941	7.5308
2457870	2017/04/26	Wed	1.0873	7.4939
2457871	2017/04/27	Thu	1.0863	7.4947
2457872	2017/04/28	Fri	1.0894	7.5111
2457875	2017/05/01	Mon	1.0909	7.5187
2457876	2017/05/02	Tue	1.0912	7.5231
2457877	2017/05/03	Wed	1.0911	7.5267
2457878	2017/05/04	Thu	1.0956	7.5549
2457879	2017/05/05	Fri	1.0985	7.5846
2457882	2017/05/08	Mon	1.0934	7.5491
2457883	2017/05/09	Tue	1.0882	7.5184
2457884	2017/05/10	Wed	1.0869	7.5013
2457885	2017/05/11	Thu	1.0865	7.5023
2457886	2017/05/12	Fri	1.0918	7.5317
2457889	2017/05/15	Mon	1.0976	7.5659
2457890	2017/05/16	Tue	1.1079	7.6307
2457891	2017/05/17	Wed	1.1136	7.6648
2457892	2017/05/18	Thu	1.1115	7.6559
2457893	2017/05/19	Fri	1.1195	7.7082
2457897	2017/05/23	Tue	1.1208	7.7222
2457898	2017/05/24	Wed	1.1191	7.7088
2457899	2017/05/25	Thu	1.1211	7.6988
2457900	2017/05/26	Fri	1.1176	7.6612
2457903	2017/05/29	Mon	1.1176	7.6629
2457904	2017/05/30	Tue	1.1180	7.6636
2457905	2017/05/31	Wed	1.1233	7.6509
2457906	2017/06/01	Thu	1.1216	7.6354
2457907	2017/06/02	Fri	1.1269	7.6781
2457910	2017/06/05	Mon	1.1252	7.6544
2457911	2017/06/06	Tue	1.1270	7.6578
2457912	2017/06/07	Wed	1.1250	7.6468
2457913	2017/06/08	Thu	1.1216	7.6259
2457914	2017/06/09	Fri	1.1189	7.6059
2457917	2017/06/12	Mon	1.1205	7.6189
2457918	2017/06/13	Tue	1.1206	7.6194
2457919	2017/06/14	Wed	1.1259	7.6463
2457920	2017/06/15	Thu	1.1150	7.5910
2457921	2017/06/16	Fri	1.1188	7.6191
2457924	2017/06/19	Mon	1.1163	7.6111
2457925	2017/06/20	Tue	1.1134	7.6022
2457926	2017/06/21	Wed	1.1149	7.6137
2457927	2017/06/22	Thu	1.1154	7.6247
2457928	2017/06/23	Fri	1.1195	7.6522
2457931	2017/06/26	Mon	1.1194	7.6584
2457932	2017/06/27	Tue	1.1308	7.7030
2457933	2017/06/28	Wed	1.1366	7.7272
2457934	2017/06/29	Thu	1.1424	7.7518
2457935	2017/06/30	Fri	1.1415	7.7393
2457939	2017/07/04	Tue	1.1348	7.7168
2457940	2017/07/05	Wed	1.1334	7.7077
2457941	2017/07/06	Thu	1.1407	7.7598
2457942	2017/07/07	Fri	1.1401	7.7571
2457945	2017/07/10	Mon	1.1397	7.7550
2457946	2017/07/11	Tue	1.1435	7.7799
2457947	2017/07/12	Wed	1.1422	7.7523
2457948	2017/07/13	Thu	1.1402	7.7323
2457949	2017/07/14	Fri	1.1454	7.7620
2457952	2017/07/17	Mon	1.1473	7.7686
2457953	2017/07/18	Tue	1.1566	7.8024
2457954	2017/07/19	Wed	1.1522	7.7812
2457955	2017/07/20	Thu	1.1604	7.8474
2457956	2017/07/21	Fri	1.1660	7.8921
2457959	2017/07/24	Mon	1.1641	7.8602
2457960	2017/07/25	Tue	1.1667	7.8748
2457961	2017/07/26	Wed	1.1653	7.8725
2457962	2017/07/27	Thu	1.1678	7.8734
2457963	2017/07/28	Fri	1.1745	7.9150
2457966	2017/07/31	Mon	1.1789	7.9305
2457967	2017/08/01	Tue	1.1810	7.9329
2457968	2017/08/02	Wed	1.1855	7.9711
2457969	2017/08/03	Thu	1.1868	7.9744
2457970	2017/08/04	Fri	1.1779	7.9223
2457974	2017/08/08	Tue	1.1767	7.8894
2457975	2017/08/09	Wed	1.1740	7.8381
2457976	2017/08/10	Thu	1.1750	7.8117
2457977	2017/08/11	Fri	1.1812	7.8739
2457980	2017/08/14	Mon	1.1787	7.8650
2457981	2017/08/15	Tue	1.1726	7.8391
2457982	2017/08/16	Wed	1.1721	7.8461
2457983	2017/08/17	Thu	1.1732	7.8337
2457984	2017/08/18	Fri	1.1749	7.8362
2457987	2017/08/21	Mon	1.1804	7.8706
2457988	2017/08/22	Tue	1.1759	7.8344
2457989	2017/08/23	Wed	1.1808	7.8617
2457990	2017/08/24	Thu	1.1804	7.8623
2457991	2017/08/25	Fri	1.1864	7.8919
2457994	2017/08/28	Mon	1.1960	7.9115
2457995	2017/08/29	Tue	1.2015	7.9267
2457996	2017/08/30	Wed	1.1907	7.8540
2457997	2017/08/31	Thu	1.1875	7.8270
2457998	2017/09/01	Fri	1.1880	7.7920
2458002	2017/09/05	Tue	1.1909	7.7911
2458003	2017/09/06	Wed	1.1928	7.7809
2458004	2017/09/07	Thu	1.2006	7.7911
2458005	2017/09/08	Fri	1.2035	7.7955
2458008	2017/09/11	Mon	1.1973	7.8154
2458009	2017/09/12	Tue	1.1957	7.8161
2458010	2017/09/13	Wed	1.1912	7.7923
2458011	2017/09/14	Thu	1.1892	7.7989
2458012	2017/09/15	Fri	1.1955	7.8301
2458015	2017/09/18	Mon	1.1947	7.8523
2458016	2017/09/19	Tue	1.1983	7.8885
2458017	2017/09/20	Wed	1.1975	7.8720
2458018	2017/09/21	Thu	1.1928	7.8622
2458019	2017/09/22	Fri	1.1958	7.8807
2458022	2017/09/25	Mon	1.1858	7.8509
2458023	2017/09/26	Tue	1.1787	7.8219
2458024	2017/09/27	Wed	1.1744	7.7994
2458025	2017/09/28	Thu	1.1785	7.8544
2458026	2017/09/29	Fri	1.1812	7.8582
2458029	2017/10/02	Mon	1.1745	7.8164
2458030	2017/10/03	Tue	1.1753	7.8185
2458031	2017/10/04	Wed	1.1762	7.8241
2458032	2017/10/05	Thu	1.1714	7.7938
2458033	2017/10/06	Fri	1.1720	7.7980
2458037	2017/10/10	Tue	1.1802	7.7571
2458038	2017/10/11	Wed	1.1847	7.8091
2458039	2017/10/12	Thu	1.1843	7.8024
2458040	2017/10/13	Fri	1.1836	7.7871
2458043	2017/10/16	Mon	1.1803	7.7791
2458044	2017/10/17	Tue	1.1756	7.7847
2458045	2017/10/18	Wed	1.1780	7.8068
2458046	2017/10/19	Thu	1.1838	7.8319
2458047	2017/10/20	Fri	1.1786	7.8045
2458050	2017/10/23	Mon	1.1745	7.7994
2458051	2017/10/24	Tue	1.1765	7.8056
2458052	2017/10/25	Wed	1.1803	7.8383
2458053	2017/10/26	Thu	1.1697	7.7686
2458054	2017/10/27	Fri	1.1593	7.7132
2458057	2017/10/30	Mon	1.1627	7.7297
2458058	2017/10/31	Tue	1.1645	7.7272
2458059	2017/11/01	Wed	1.1624	7.6771
2458060	2017/11/02	Thu	1.1660	7.7062
2458061	2017/11/03	Fri	1.1621	7.7095
2458064	2017/11/06	Mon	1.1599	7.6960
2458065	2017/11/07	Tue	1.1578	7.6854
2458066	2017/11/08	Wed	1.1593	7.6819
2458067	2017/11/09	Thu	1.1636	7.7279
2458068	2017/11/10	Fri	1.1660	7.7429
2458072	2017/11/14	Tue	1.1773	7.8114
2458073	2017/11/15	Wed	1.1808	7.8186
2458074	2017/11/16	Thu	1.1771	7.8054
2458075	2017/11/17	Fri	1.1795	7.8160
2458078	2017/11/20	Mon	1.1749	7.7956
2458079	2017/11/21	Tue	1.1736	7.7820
2458080	2017/11/22	Wed	1.1790	7.7964
2458081	2017/11/23	Thu	1.1849	7.7981
2458082	2017/11/24	Fri	1.1922	7.8701
2458085	2017/11/27	Mon	1.1919	7.8648
2458086	2017/11/28	Tue	1.1870	7.8401
2458087	2017/11/29	Wed	1.1850	7.8308
2458088	2017/11/30	Thu	1.1895	7.8656
2458089	2017/12/01	Fri	1.1889	7.8659
2458092	2017/12/04	Mon	1.1849	7.8425
2458093	2017/12/05	Tue	1.1823	7.8241
2458094	2017/12/06	Wed	1.1797	7.8014
2458095	2017/12/07	Thu	1.1789	7.8046
2458096	2017/12/08	Fri	1.1760	7.7873
2458099	2017/12/11	Mon	1.1792	7.8048
2458100	2017/12/12	Tue	1.1736	7.7706
2458101	2017/12/13	Wed	1.1771	7.7899
2458102	2017/12/14	Thu	1.1795	7.7976
2458103	2017/12/15	Fri	1.1772	7.7796
2458106	2017/12/18	Mon	1.1797	7.8071
2458107	2017/12/19	Tue	1.1828	7.8124
2458108	2017/12/20	Wed	1.1872	7.8104
2458109	2017/12/21	Thu	1.1867	7.8133
2458110	2017/12/22	Fri	1.1845	7.7902
2458115	2017/12/27	Wed	1.1899	7.8019
2458116	2017/12/28	Thu	1.1949	7.8054
2458117	2017/12/29	Fri	1.1998	7.8070
